LABELS
SEPARATOR TAB

DATA
GNM526588003153	CRZE020
GNM526588003154	SATE077
GNM526588003155	TATE062
GNM526588003156	TAZC055
GNM526588003157	TATA023
GNM526588003158	CRZA021
GNM526588003159	CRZA023
GNM526588003160	CRZA037
GNM526588003161	SASD049
GNM526588003162	SASD056
GNM526588003163	SATA051
GNM526588003164	SATB022
GNM526588003165	SATC054
GNM526588003166	SATC058
GNM526588003167	SATE005
GNM526588003168	SATE016
GNM526588003169	SAZB036
GNM526588003170	SAZB047
GNM526588003171	SAZC027
GNM526588003172	TASD023
GNM526588003173	TATC054
GNM526588003174	TAZA049
GNM526588003175	TAZC046
GNM526588003176	TATC039
GNM526588003177	CRZA024
GNM526588003178	SATE042
GNM526588003187	CRSD038
GNM526588003262	SATA036
GNM526588003263	SATA062
GNM526588003264	SAZD021
GNM526588003265	CRZA043
GNM526588003266	CRZC036
GNM526588003267	SASD054
GNM526588003268	SAZB034
GNM526588003269	TASD036
GNM526588003270	TATB043
GNM526588003271	TAZA013
GNM526588003272	CRZC059
GNM526588003274	SAZB055
GNM526588003275	SAZD028
GNM526588003276	TATA015
GNM526588003277	TATB003
GNM526588003278	TATE025
GNM526588003279	TAZA020
GNM526588003283	SATA055
GNM526588003287	CRSC059
GNM526588003288	SASC031
GNM526588003289	SAZC002
GNM526588003290	SAZD020
GNM526588003291	TAZA025
GNM526588003292	TAZC035
GNM526588003293	TAZC057
GNM526588003297	TAZC050
GNM526588003303	CRSC035
GNM526588003304	CRZC058
GNM526588003305	SASA029
GNM526588003306	SASB047
GNM526588003307	SASC036
GNM526588003308	SASD025
GNM526588003309	SATA041
GNM526588003310	SATA044
GNM526588003311	SATB037
GNM526588003312	TASC013
GNM526588003313	TATC042
GNM526588003314	TATE071
GNM526588003315	TAZE021
GNM526588003316	TATE078
GNM526588003317	SAZC035
GNM526588003318	SATC052
GNM526588003319	SATC053
GNM526588003320	TAZA001
GNM526588003321	TAZE035
GNM526588003322	CRZA007
GNM526588003323	CRTA015
GNM526588003324	CRZC056
GNM526588003325	CRZD027
GNM526588003326	CRZD031
GNM526588003327	CRZE021
GNM526588003328	SASB022
GNM526588003329	SASB024
GNM526588003330	SATE041
GNM526588003331	SAZA008
