LABELS
SEPARATOR TAB

DATA
GNM000011965	Ruegeria pomeroyi DSS-3
GNM000158135	Rhodobacteraceae bacterium KLH11
GNM000161775	Ruegeria lacuscaerulensis ITI-1157
GNM000192475	Ruegeria conchae TW15
GNM000743705	Ruegeria halocynthiae MOLA R1/13b
GNM900101475	Ruegeria marina CGMCC 1.9108
GNM001238295	Ruegeria sp. 6PALISEP08
GNM000813985	Ruegeria sp. ANG-R
GNM000814005	Ruegeria sp. ANG-S4
GNM900106805	Ruegeria halocynthiae DSM 27839
GNM900129345	Ruegeria intermedia DSM 29341
GNM900141625	Ruegeria lacuscaerulensis DSM 11314
GNM001458095	Ruegeria atlantica CECT 4293
GNM001458195	Ruegeria atlantica CECT 4292
GNM001458295	Ruegeria denitrificans CECT 5091
GNM001507545	Ruegeria profundi ZGT108
GNM001507595	Ruegeria marisrubri ZGT118
GNM900182615	Ruegeria faecimaris DSM 28009
GNM900172215	Ruegeria meonggei CECT 8411
GNM900172225	Ruegeria litorea CECT 7639
GNM900185035	Ruegeria arenilitoris CECT 8715
GNM003318155	Phaeobacter gallaeciensis C3M10
GNM900143525	Ruegeria sp. Alg231-54
GNM003318255	Ruegeria sp. A3M17
GNM003443535	Ruegeria sp. AD91A
GNM900302455	Ruegeria mediterranea CECT 7615
GNM900313035	Ruegeria sp. EL01
GNM009363615	Ruegeria sp. THAF33
GNM017743795	Ruegeria sp. R8_2
GNM017743815	Ruegeria sp. R8_1
GNM017743935	Tropicibacter sp. R16_0
GNM900537075	Tropicibacter sp. Alg240-R139
GNM900537105	Tropicibacter sp. Alg239-R130
GNM900312795	Ruegeria sp. AU67
GNM017743975	Ruegeria sp. R14_0
GNM017743995	Ruegeria sp. R13_0
GNM005938215	Ruegeria sediminis CAU 1488
GNM010500245	Ruegeria sp. PrR005
GNM900313015	Rhodobacteraceae bacterium EL53
GNM900537095	Rhodobacteraceae bacterium Alg241-R94
GNM013031565	HKCCD7255
GNM013031225	HKCCD7221
GNM013031405	HKCCD8929
GNM013110805	HKCCD5851
GNM013033515	HKCCA6707
GNM013034465	HKCCC2112
GNM013034445	HKCCC2117
GNM013110875	HKCCD4332
GNM013034175	HKCCA5463
GNM013031165	HKCCD7251
GNM013034565	HKCCA5491
GNM013033125	HKCCA4008
GNM013033235	HKCCA0235A
GNM013110635	HKCCD6604
GNM013110775	HKCCD7296
GNM013035825	HKCCA5014
GNM013031175	HKCCD9179
GNM013110915	HKCCD4318
GNM013110755	HKCCD7318
GNM013034245	HKCCA4812
GNM013377785	Rhodobacteraceae bacterium B1Z28
GNM013034605	HKCCA4633
GNM013110685	HKCCD6157
GNM013110595	HKCCD6428
GNM013033505	HKCCA6948
GNM013034525	HKCCA5929
GNM013110675	HKCCD6228
GNM013110885	HKCCD4318-2
GNM013031185	HKCCD7239
GNM013110855	HKCCD4884
GNM013111185	HKCCD7303
GNM013110795	HKCCD6109
GNM013034475	HKCCA6837
GNM013034595	HKCCA4707
GNM013034585	HKCCA5426
GNM013110585	HKCCD6119
GNM013112245	HKCCD4315
GNM013034485	HKCCC2111
GNM013110575	HKCCD7559
GNM013110825	HKCCD5849
GNM013034545	HKCCA5763
GNM013110715	HKCCD7319
GNM013035585	HKCCA5839
GNM903914075	Ruegeria sp. THAF57
GNM013035475	HKCCC1038
GNM013033705	HKCCA0370
GNM003664205	Ruegeria conchae DSM 29317
GNM013030165	HKCCD9151
GNM013030185	HKCCD7214
GNM013030195	HKCCD9012
GNM013030225	HKCCD6438
GNM013030235	HKCCD9083
GNM013030265	HKCCD8929-2
GNM013030285	HKCCD8343
GNM013030305	HKCCD6232
GNM013030325	HKCCD8500
GNM013030345	HKCCD9169
GNM013030965	HKCCD4449
GNM013030985	HKCCD9208
GNM013031015	HKCCD9204
GNM013031055	HKCCD9203-2
GNM013031085	HKCCD9203
GNM013031105	HKCCD4580
GNM013031125	HKCCD9198
GNM013031145	HKCCD4579
GNM013031245	HKCCD5857
GNM013031265	HKCCD7235
GNM013031285	HKCCD5879
GNM013031295	HKCCD9190
GNM013031325	HKCCD6120
GNM013031345	HKCCD6425
GNM013031355	HKCCD9148
GNM013031375	HKCCD9147
GNM013031425	HKCCD8795
GNM013031435	HKCCD7560
GNM013031465	HKCCD8727
GNM013031475	HKCCD7299
GNM013031485	HKCCD8719
GNM013031525	HKCCD7291
GNM013031545	HKCCD7218
GNM013031585	HKCCD7206-2
GNM013031595	HKCCD7225
GNM013031625	HKCCD7206-1
GNM013031645	HKCCD7172
GNM013031665	HKCCD7176
GNM013031685	HKCCD6457
GNM013031695	HKCCD7171
GNM013031725	HKCCD6397
GNM013031735	HKCCD6291
GNM013031745	HKCCD6421
GNM013031785	HKCCD6251
GNM013031795	HKCCD6234
GNM013031825	HKCCD6116
