Species	Mutation rate	Genome size	Total CDS (Mb)	Mut_load	Indel_rate	group	id
Agrobacterium_tumefaciens_C58	2.92E-10	5.674	4.999	1.46E-03	2.92E-10	Gracilicutes	1
Bacillus_subtilis_NCIB_3610	3.28E-10	4.286	3.572	1.17E-03	3.35E-10	Terrabacteria	2
Burkholderia_cenocepacia_HI2424	1.33E-10	7.703	6.741	8.97E-04	1.68E-11	Gracilicutes	3
Caulobacter_crescentus_NA1000	3.46E-10	4.043	3.669	1.27E-03	5.40E-11	Gracilicutes	4
Escherichia_coli_K_12_MG1655	2.00E-10	4.64	3.9	7.80E-04	2.00E-10	Gracilicutes	5
Haloferax_volcanii_DS2	3.15E-10	4.013	3.38	1.07E-03	3.58E-11	Archaea	6
Janthinobacterium_lividum_KBS0711	1.22E-10	4.985	4.206	5.13E-04	1.00E-11	Gracilicutes	7
Lactococcus_lactis_DSMZ20481	1.66E-09	2.731	2.26	3.75E-03	1.14E-10	Terrabacteria	8
Mesoplasma_florum_L1	9.78E-09	0.79	0.734	7.18E-03	9.78E-09	Terrabacteria	9
Mycobacterium_smegmatis_MC2_155	5.27E-10	6.99	6.51	3.43E-03	1.27E-10	Terrabacteria	10
Pseudomonas_aeruginosa_PA14	7.92E-11	6.529	5.902	4.68E-04	7.90E-11	Gracilicutes	11
Rhodobacter_sphaeroides_ATCC17025	1.17E-10	4.557	4.016	4.70E-04	1.70E-11	Gracilicutes	12
Ruegeria_pomeroyi_DSS_3	1.38E-10	4.601	4.149	5.73E-04	2.50E-11	Gracilicutes	13
Salmonella_enterica	1.77E-10	4.951	4.295	7.60E-04	1.50E-11	Gracilicutes	14
Staphylococcus_aureus_ATCC_25923	4.38E-10	2.806	2.32	1.02E-03	4.40E-11	Terrabacteria	15
Staphylococcus_epidermidis_ATCC_12228	7.40E-10	2.565	2.1	1.55E-03	7.40E-10	Terrabacteria	16
Teredinibacter_turnerae	1.14E-09	5.19	4.451	5.07E-03	1.55E-10	Gracilicutes	17
Vibrio_cholerae_2740_80	1.07E-10	4.068	3.436	3.68E-04	1.15E-10	Gracilicutes	18
Vibrio_fischeri_ES114	2.07E-10	4.274	3.72	7.70E-04	5.68E-11	Gracilicutes	19
Vibrio_shilonii_AK1	2.29E-10	5.702	4.904	1.12E-03	2.86E-11	Gracilicutes	20
Arthrobacter_sp._KBS0703	3.18E-10	4.86	3.696	1.18E-03	6.20E-11	Terrabacteria	21
Colwellia_psychrerythraea_34H	8.38E-10	5.373	4.476	3.75E-03	9.20E-11	Gracilicutes	22
Deinococcus_radiodurans_R1	4.99E-10	3.345	2.873	1.43E-03	4.50E-11	Terrabacteria	23
Flavobacterium_sp._KBS0721	3.91E-10	5.868	5.031	1.97E-03	5.70E-11	Gracilicutes	24
Gemmata_obscuriglobus_DSM5831	2.38E-10	9.162	7.406	1.76E-03	3.50E-11	Gracilicutes	25
Kineococcus_radiotolerans_SRS30216	3.90E-10	4.957	4.396	1.71E-03	1.59E-10	Terrabacteria	26
Leeuwenhoekiella_sp._ZYFB001	5.49E-10	4.054	3.671	2.02E-03	6.56E-11	Gracilicutes	27
Micrococcus_sp._KBS0714	3.18E-10	2.522	2.242	7.13E-04	1.56E-10	Terrabacteria	28
Nonlabens_sp._SY33080	5.21E-10	2.852	2.62	1.37E-03	5.55E-11	Gracilicutes	29
Thermococcus_eurythermalis_A501	7.16E-09	2.126	1.905	1.36E-02	2.06E-09	Archaea	30
Photorhabdus_luminescens_ATCC29999	5.90E-11	5.288	4.467	2.64E-04	8.20E-12	Gracilicutes	31
Prochlorococcus_marinus_AS9601	3.50E-10	1.67	1.494	5.23E-04	0.00E+00	Terrabacteria	32
Dinoroseobacter_shibae_DFL_12	1.81E-10	4.418	3.924	7.10E-04	3.61E-11	Gracilicutes	33
Sulfitobacter_sp_EE-36	3.57E-10	3.338	2.421	8.64E-04	4.03E-11	Gracilicutes	34
CHUG_sp_HKCCA1288	7.14E-10	2.663	2.433	1.74E-03	1.31E-10	Gracilicutes	35
