GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM905479455	Amylibacter sp. 0.2_20180529_Bin_151_sub_1	91.15	0.46	1889331	2062363 
GNM905182285	Amylibacter sp. FRAM18_bin021	90.01	0	1903131	2114355 
GNM913061405	uncultured Rhodobacteraceae bacterium SRR4030076_bin.56_MetaBAT_v2.12.1_MAG	98.75	0.23	2247232	2270390 
GNM913009435	uncultured Rhodobacteraceae bacterium SRR5976592_bin.42_MetaBAT_v2.12.1_MAG	94.8	0.3	2172360	2284290 
GNM000153745	Rhodobacterales sp. HTCC2255	95.87	4.08	2296803	2297952 
GNM913045035	uncultured Marinovum sp. ERR598966_bin.7_MetaBAT_v2.12.1_MAG	92.19	0	2170472	2354346 
GNM902732765	Planktomarina sp. Planktomarina sp. SW01_Bin08	92.59	0.76	2208500	2365828 
GNM913009715	uncultured Planktomarina sp. SRR5976592_bin.34_MetaBAT_v2.12.1_MAG	95.61	0.03	2264822	2368070 
GNM902732775	Planktomarina sp. Planktomarina sp. SW02_Bin14	94.31	1.17	2269649	2377094 
GNM002457055	Rhodobacteraceae bacterium MED-G08	91.68	0.31	2208373	2400666 
GNM905479365	Planktomarina temperata 0.2_20180524_Bin_MAXBIN_023_1	97.75	0.48	2379476	2422352 
GNM913041815	uncultured Rhodobacteraceae bacterium ERR598965_bin.156_MetaBAT_v2.12.1_MAG	96.49	1.67	2378754	2423344 
GNM009886735	Planktomarina sp. NorthSea_HE361-13_B16	93.86	0.6	2291108	2425480 
GNM009887015	Planktomarina sp. NorthSea_HE361-13_B03	96.57	0.1	2344786	2425557 
GNM002705045	Rhodobacteraceae bacterium NAT185	91.56	0.24	2235388	2435063 
GNM018676155	Planktomarina temperata SI034_bin56	90.04	3.26	2282831	2446764 
GNM018698415	Planktomarina temperata SI060_bin67	93.04	0.81	2298621	2449250 
GNM015689805	LSUCC1028	99.55	0.3	2449485	2453165 
GNM015689785	LSUCC0246	98.58	0.4	2430383	2455428 
GNM015689635	HKCCD6035	99.18	0.3	2443746	2456520 
GNM015487335	Rhodobacteraceae bacterium S012_89	94.43	4.67	2436363	2458489 
