replicon	mutpos	genepos	muttype	genetype
tig00000001	2300536	2300686.0	bps	CDS
tig00000001	714864	714936.5	bps	CDS
tig00000020	39232	39730.5	bps	CDS
tig00000001	1150970	1150970	bps	IGR
tig00000001	1963820	1963820	bps	IGR
tig00000001	1983644	1984223.0	bps	CDS
tig00000001	217159	217397.5	bps	CDS
tig00000001	2172293	2172293	bps	IGR
tig00000001	2180270	2180270	bps	IGR
tig00000001	2558724	2558393.5	bps	CDS
tig00000001	2810921	2810826.5	bps	CDS
tig00000001	832293	831850.0	bps	CDS
tig00000020	209136	209180.0	bps	CDS
tig00000001	1017899	1018160.0	bps	CDS
tig00000001	1803513	1803787.5	bps	CDS
tig00000001	1816308	1816329.0	bps	CDS
tig00000001	454803	454737.5	bps	CDS
tig00000001	675006	674499.0	bps	CDS
tig00000001	817837	818412.0	bps	CDS
tig00000001	968229	968953.5	bps	CDS
tig00000001	968236	968953.5	bps	CDS
tig00000001	1354308	1355366.0	bps	CDS
tig00000001	1473617	1473834.0	bps	CDS
tig00000001	333802	334342.0	bps	CDS
tig00000001	137343	136916.0	bps	CDS
tig00000001	1414359	1414299.5	bps	CDS
tig00000001	1612550	1612283.5	bps	CDS
tig00000001	411357	411657.5	bps	CDS
tig00000020	232827	232634.5	bps	CDS
tig00000001	1798732	1799116.5	bps	CDS
tig00000001	2650353	2650353	bps	IGR
tig00000001	1075125	1074975.0	bps	CDS
tig00000001	1247065	1245663.0	bps	CDS
tig00000001	1544783	1544703.5	bps	CDS
tig00000001	2481025	2480800.0	bps	CDS
tig00000001	1493517	1493287.0	bps	CDS
tig00000001	1719446	1719641.0	bps	CDS
tig00000001	2092890	2093182.0	bps	CDS
tig00000001	631646	631910.0	bps	CDS
tig00000001	637203	636823.5	bps	CDS
tig00000001	1727428	1727543.5	bps	CDS
tig00000001	1857529	1857345.5	bps	CDS
tig00000001	2171648	2170282.0	bps	CDS
tig00000001	2552089	2552513.5	bps	CDS
tig00000001	2672857	2672770.0	bps	CDS
tig00000001	531820	531237.0	bps	CDS
tig00000020	274476	274191.5	bps	CDS
tig00000001	108877	108237.0	bps	CDS
tig00000001	1120656	1121023.5	bps	CDS
tig00000001	1187099	1186557.5	bps	CDS
tig00000001	178378	178371.5	bps	CDS
tig00000001	2044461	2044458.0	bps	CDS
tig00000001	906083	905906.5	bps	CDS
tig00000001	2088499	2088497.5	bps	CDS
tig00000001	2541882	2541690.0	bps	CDS
tig00000001	1956316	1956782.5	bps	CDS
tig00000001	2077299	2077185.0	bps	CDS
tig00000001	2205999	2205999	bps	IGR
tig00000001	496421	496584.5	bps	CDS
tig00000001	557131	557107.5	bps	CDS
tig00000001	718359	718419.5	bps	CDS
tig00000001	87595	87289.5	bps	CDS
tig00000001	133125	132747.5	bps	CDS
tig00000001	1401751	1401680.5	bps	CDS
tig00000001	1527067	1527329.0	bps	CDS
tig00000001	1527068	1527329.0	bps	CDS
tig00000001	2632803	2632657.0	bps	CDS
tig00000001	2697202	2697646.5	bps	CDS
tig00000001	290545	290540.0	bps	CDS
tig00000001	436115	435944.0	bps	CDS
tig00000001	622082	621218.0	bps	CDS
tig00000001	658573	658206.5	bps	CDS
tig00000020	137640	137592.5	bps	CDS
tig00000020	167600	167446.5	bps	CDS
tig00000001	1020378	1020821.5	bps	CDS
tig00000001	1531063	1531124.5	bps	CDS
tig00000001	2172244	2172244	bps	IGR
tig00000001	821003	821186.0	bps	CDS
tig00000001	103346	103185.0	bps	CDS
tig00000001	1055136	1055300.5	bps	CDS
tig00000001	262855	262960.0	bps	CDS
tig00000001	611130	610685.0	bps	CDS
tig00000001	822066	822241.5	bps	CDS
tig00000001	1236435	1236332.0	bps	CDS
tig00000001	2753467	2754448.5	bps	CDS
tig00000001	2698878	2698915.5	bps	CDS
tig00000001	2753467	2754448.5	bps	CDS
tig00000001	604206	606281.5	bps	CDS
tig00000001	883541	883283.5	bps	CDS
tig00000001	984126	983623.5	bps	CDS
tig00000001	1527841	1527909.0	bps	CDS
tig00000001	2924582	2923777.0	bps	CDS
tig00000001	615035	615269.5	bps	CDS
tig00000001	800496	800902.5	bps	CDS
tig00000020	233045	232634.5	bps	CDS
tig00000001	1006837	1006984.0	bps	CDS
tig00000001	1522780	1522286.5	bps	CDS
tig00000001	2567562	2567513.0	bps	CDS
tig00000001	2901298	2900756.5	bps	CDS
tig00000001	917886	918013.5	bps	CDS
tig00000001	1123518	1123518	bps	IGR
tig00000001	1186599	1186557.5	bps	CDS
tig00000001	1371961	1371961	bps	IGR
tig00000001	1513129	1513048.0	bps	CDS
tig00000001	179722	179735.0	bps	CDS
tig00000001	2172303	2172303	bps	IGR
tig00000001	373401	373489.5	bps	CDS
tig00000001	769379	769196.0	bps	CDS
tig00000001	814960	814397.5	bps	CDS
tig00000001	836466	836295.0	bps	CDS
tig00000001	1117678	1116495.0	bps	CDS
tig00000001	1631197	1630767.0	bps	CDS
tig00000001	2342135	2342119.0	bps	CDS
tig00000001	817275	817460.0	bps	CDS
tig00000001	1119569	1118877.5	bps	CDS
tig00000001	1412626	1413249.5	bps	CDS
tig00000001	1545247	1545527.5	bps	CDS
tig00000001	1647015	1647015	bps	IGR
tig00000001	1946651	1946349.0	bps	CDS
tig00000001	2097628	2097320.0	bps	CDS
tig00000001	572389	572578.5	bps	CDS
tig00000001	61433	62260.0	bps	CDS
tig00000001	841060	840894.0	bps	CDS
tig00000001	1025266	1024416.0	bps	CDS
tig00000001	861655	862019.5	bps	CDS
tig00000001	1071298	1070962.5	bps	CDS
tig00000001	1090802	1090802	bps	IGR
tig00000001	1280744	1280744	bps	IGR
tig00000001	144292	145006.0	bps	CDS
tig00000001	1451060	1451440.0	bps	CDS
tig00000001	2034656	2034435.0	bps	CDS
tig00000001	248609	248365.0	bps	CDS
tig00000001	117922	118696.5	bps	CDS
tig00000001	2022902	2022902	bps	IGR
