replicon	mutpos	genepos	muttype	genetype	locus
NC_009952	1204996	1204766.0	bps	CDS	DSHI_RS05985
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1685791	1685560.0	bps	CDS	DSHI_RS08240
NC_009952	1716191	1716631.5	bps	CDS	DSHI_RS08405
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009952	3292487	3292790.0	bps	CDS	DSHI_RS15845
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1991563	1991686.0	bps	CDS	DSHI_RS09720
NC_009952	274517	274517	bps	IGR	-
NC_009952	2954437	2954835.0	bps	CDS	DSHI_RS14190
NC_009952	909213	909213	bps	IGR	-
NC_009952	1685815	1685560.0	bps	CDS	DSHI_RS08240
NC_009952	2084985	2084556.5	bps	CDS	DSHI_RS10045
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1313935	1313932.0	bps	CDS	DSHI_RS06445
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1338459	1338459	bps	IGR	-
NC_009952	1802627	1802737.5	bps	CDS	DSHI_RS08840
NC_009952	3192818	3192814.0	bps	CDS	DSHI_RS15335
NC_009952	3368739	3369155.5	bps	CDS	DSHI_RS16240
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1609434	1609245.0	bps	CDS	DSHI_RS07870
NC_009952	63089	63018.0	bps	CDS	DSHI_RS00295
NC_009952	1559978	1559940.5	bps	CDS	DSHI_RS07635
NC_009952	2028942	2028821.0	bps	CDS	DSHI_RS09885
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009955	44753	44436.0	bps	CDS	DSHI_RS18435
NC_009955	44759	44436.0	bps	CDS	DSHI_RS18435
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009958	81952	82292.0	bps	CDS	DSHI_RS20825
NC_009952	143030	143030	bps	IGR	-
NC_009952	3698681	3698610.0	bps	CDS	DSHI_RS17805
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1671474	1671984.0	bps	CDS	DSHI_RS08180
NC_009952	243180	243180	bps	IGR	-
NC_009952	3001113	3001031.0	bps	CDS	DSHI_RS14430
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009955	44051	44436.0	bps	CDS	DSHI_RS18435
NC_009955	44057	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1557319	1557710.0	bps	CDS	DSHI_RS07630
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1666432	1666425.5	bps	CDS	DSHI_RS08145
NC_009952	1873342	1873445.5	bps	CDS	DSHI_RS09180
NC_009952	2638752	2639496.0	bps	CDS	DSHI_RS12635
NC_009952	2083982	2083982	bps	IGR	-
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009952	2304880	2305479.5	bps	CDS	DSHI_RS11085
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	2084985	2084556.5	bps	CDS	DSHI_RS10045
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1091152	1091219.0	bps	CDS	DSHI_RS05410
NC_009952	1165678	1165633.0	bps	CDS	DSHI_RS05815
NC_009952	124437	123872.5	bps	CDS	DSHI_RS00620
NC_009955	44627	44436.0	bps	CDS	DSHI_RS18435
NC_009956	12653	12297.0	bps	CDS	DSHI_RS19195
NC_009952	242503	242508.0	bps	CDS	DSHI_RS01220
NC_009952	1431554	1431157.5	bps	CDS	DSHI_RS07010
NC_009952	1768195	1767813.5	bps	CDS	DSHI_RS08640
NC_009952	880727	880831.0	bps	CDS	DSHI_RS04430
NC_009955	120607	120607	bps	IGR	-
NC_009952	1718011	1717885.5	bps	CDS	DSHI_RS08410
NC_009952	2205367	2205367	bps	IGR	-
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1572418	1571997.5	bps	CDS	DSHI_RS07690
NC_009952	1637032	1637032	bps	IGR	-
NC_009952	2447935	2447890.5	bps	CDS	DSHI_RS11780
NC_009952	3165090	3165718.5	bps	CDS	DSHI_RS15220
NC_009952	1379890	1380361.0	bps	CDS	DSHI_RS06770
NC_009952	1933843	1933963.0	bps	CDS	DSHI_RS09455
NC_009952	2893273	2893077.5	bps	CDS	DSHI_RS13860
NC_009952	3072465	3072405.0	bps	CDS	DSHI_RS14780
NC_009952	2084985	2084556.5	bps	CDS	DSHI_RS10045
NC_009952	3086222	3086000.5	bps	CDS	DSHI_RS14850
NC_009952	3580009	3580099.5	bps	CDS	DSHI_RS17230
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009952	3318047	3318390.5	bps	CDS	DSHI_RS15980
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	275037	275225.5	bps	CDS	DSHI_RS01355
NC_009952	3212641	3212532.5	bps	CDS	DSHI_RS15445
NC_009952	3544251	3544458.0	bps	CDS	DSHI_RS17080
NC_009952	1655405	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	243180	243180	bps	IGR	-
NC_009952	3001113	3001031.0	bps	CDS	DSHI_RS14430
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	3708166	3708142.5	bps	CDS	DSHI_RS17855
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1528092	1528159.0	bps	CDS	DSHI_RS07505
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1681596	1681288.0	bps	CDS	DSHI_RS08220
NC_009952	2504118	2504085.0	bps	CDS	DSHI_RS12070
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	2274632	2274122.5	bps	CDS	DSHI_RS10910
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1599203	1599489.5	bps	CDS	DSHI_RS07830
NC_009952	1605257	1605244.5	bps	CDS	DSHI_RS07855
NC_009952	1630888	1630041.0	bps	CDS	DSHI_RS07965
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1743735	1743681.5	bps	CDS	DSHI_RS08520
NC_009952	2427344	2427144.5	bps	CDS	DSHI_RS11670
NC_009955	88753	88759.0	bps	CDS	DSHI_RS18610
NC_009952	3544251	3544458.0	bps	CDS	DSHI_RS17080
NC_009952	282916	282916	bps	IGR	-
NC_009952	3328527	3328268.5	bps	CDS	DSHI_RS16040
